"Four-Year Graduation Rates, 2017-18"
"All Districts, English Learner Status"

"",,,,"Non-Graduates",,,
"District","District Code","English Learner Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Achievement First Bridgeport Academy District","=""2850013""","Non-ELL",30,6,20.0,"*","*"
"Achievement First Hartford Academy District","=""2880013""","Non-ELL","*","*","*","*","*"
"Achievement First Hartford Academy District","=""2880013""","ELL","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Non-ELL","*","*","*","*","*"
"Amistad Academy District","=""2790013""","ELL","*","*","*","*","*"
"Ansonia School District","=""0020011""","Non-ELL","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELL","*","*","*","*","*"
"Avon School District","=""0040011""","Non-ELL","*","*","*","*","*"
"Avon School District","=""0040011""","ELL","*","*","*","*","*"
"Berlin School District","=""0070011""","Non-ELL",216,7,3.2,6,2.8
"Bethel School District","=""0090011""","Non-ELL","*","*","*","*","*"
"Bethel School District","=""0090011""","ELL","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Non-ELL","*","*","*","*","*"
"Bloomfield School District","=""0110011""","ELL","*","*","*","*","*"
"Bolton School District","=""0120011""","Non-ELL",80,"*","*",0,0.0
"Branford School District","=""0140011""","Non-ELL","*","*","*","*","*"
"Branford School District","=""0140011""","ELL","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Non-ELL",1231,90,7.3,193,15.7
"Bridgeport School District","=""0150011""","ELL",215,25,11.6,52,24.2
"Bristol School District","=""0170011""","Non-ELL",578,"*","*","*","*"
"Bristol School District","=""0170011""","ELL",22,"*","*","*","*"
"Brookfield School District","=""0180011""","Non-ELL","*","*","*","*","*"
"Brookfield School District","=""0180011""","ELL","*","*","*","*","*"
"Canton School District","=""0230011""","Non-ELL","*","*","*","*","*"
"Canton School District","=""0230011""","ELL","*","*","*","*","*"
"Capital Preparatory Harbor School District","=""2970013""","Non-ELL",32,10,31.3,"*","*"
"Capitol Region Education Council","=""2410014""","Non-ELL",520,"*","*",13,2.5
"Capitol Region Education Council","=""2410014""","ELL",14,"*","*",0,"*"
"Cheshire School District","=""0250011""","Non-ELL","*","*","*","*","*"
"Cheshire School District","=""0250011""","ELL","*","*","*","*","*"
"Clinton School District","=""0270011""","Non-ELL","*","*","*","*","*"
"Clinton School District","=""0270011""","ELL","*","*","*","*","*"
"Colchester School District","=""0280011""","Non-ELL","*","*","*","*","*"
"Colchester School District","=""0280011""","ELL","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Non-ELL","*","*","*","*","*"
"Common Ground High School District","=""2680013""","ELL","*","*","*","*","*"
"Connecticut Technical Education and Career System","=""9000016""","Non-ELL",2366,13,0.5,59,2.5
"Connecticut Technical Education and Career System","=""9000016""","ELL",56,0,0.0,0,0.0
"Coventry School District","=""0320011""","Non-ELL",123,"*","*","*","*"
"Cromwell School District","=""0330011""","Non-ELL","*","*","*","*","*"
"Cromwell School District","=""0330011""","ELL","*","*","*","*","*"
"Danbury School District","=""0340011""","Non-ELL",661,37,5.6,53,8.0
"Danbury School District","=""0340011""","ELL",120,30,25.0,29,24.2
"Darien School District","=""0350011""","Non-ELL",344,8,2.3,"*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Non-ELL","*","*","*","*","*"
"Derby School District","=""0370011""","Non-ELL","*","*","*","*","*"
"Derby School District","=""0370011""","ELL","*","*","*","*","*"
"East Granby School District","=""0400011""","Non-ELL",59,"*","*",0,0.0
"East Haddam School District","=""0410011""","Non-ELL",84,"*","*","*","*"
"East Hampton School District","=""0420011""","Non-ELL",113,"*","*","*","*"
"East Hartford School District","=""0430011""","Non-ELL",459,"*","*",19,4.1
"East Hartford School District","=""0430011""","ELL",50,"*","*",8,16.0
"East Haven School District","=""0440011""","Non-ELL",236,"*","*",24,10.2
"East Haven School District","=""0440011""","ELL",12,"*","*",0,"*"
"East Lyme School District","=""0450011""","Non-ELL","*","*","*","*","*"
"East Lyme School District","=""0450011""","ELL","*","*","*","*","*"
"East Windsor School District","=""0470011""","Non-ELL","*","*","*","*","*"
"East Windsor School District","=""0470011""","ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELL","*","*","*","*","*"
"Ellington School District","=""0480011""","Non-ELL",181,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Non-ELL",26,"*","*",0,0.0
"Enfield School District","=""0490011""","Non-ELL","*","*","*","*","*"
"Enfield School District","=""0490011""","ELL","*","*","*","*","*"
"Explorations District","=""2720013""","Non-ELL",28,0,0.0,"*","*"
"Fairfield School District","=""0510011""","Non-ELL",780,"*","*","*","*"
"Fairfield School District","=""0510011""","ELL",7,"*","*","*","*"
"Farmington School District","=""0520011""","Non-ELL","*","*","*","*","*"
"Farmington School District","=""0520011""","ELL","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Non-ELL","*","*","*","*","*"
"Glastonbury School District","=""0540011""","ELL","*","*","*","*","*"
"Granby School District","=""0560011""","Non-ELL",162,"*","*","*","*"
"Greenwich School District","=""0570011""","Non-ELL",613,"*","*","*","*"
"Greenwich School District","=""0570011""","ELL",8,"*","*","*","*"
"Griswold School District","=""0580011""","Non-ELL",154,11,7.1,9,5.8
"Groton School District","=""0590011""","Non-ELL",264,"*","*","*","*"
"Groton School District","=""0590011""","ELL",12,"*","*","*","*"
"Guilford School District","=""0600011""","Non-ELL",297,7,2.4,"*","*"
"Hamden School District","=""0620011""","Non-ELL",422,"*","*","*","*"
"Hamden School District","=""0620011""","ELL",11,"*","*","*","*"
"Hartford School District","=""0640011""","Non-ELL",1076,86,8.0,184,17.1
"Hartford School District","=""0640011""","ELL",240,34,14.2,81,33.8
"Highville Charter School District","=""2860013""","Non-ELL",21,0,0.0,0,0.0
"Jumoke Academy District","=""2610013""","Non-ELL",14,0,"*",9,"*"
"Killingly School District","=""0690011""","Non-ELL","*","*","*","*","*"
