"Four-Year Graduation Rates, 2011-12"
"All Districts, English Learner Status"

"",,,"Graduates",
"District","English Learner Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Non-ELL",21,15,71.4
"Ansonia School District","Non-ELL",195,150,76.9
"Ansonia School District","ELL",10,6,60.0
"Avon School District","Non-ELL","*","*","*"
"Avon School District","ELL","*","*","*"
"Berlin School District","Non-ELL","*","*","*"
"Berlin School District","ELL","*","*","*"
"Bethel School District","Non-ELL","*","*","*"
"Bethel School District","ELL","*","*","*"
"Bloomfield School District","Non-ELL",196,153,78.1
"Bolton School District","Non-ELL",73,66,90.4
"Branford School District","Non-ELL","*","*","*"
"Branford School District","ELL","*","*","*"
"Bridgeport School District","Non-ELL",1065,728,68.4
"Bridgeport School District","ELL",208,116,55.8
"Bristol School District","Non-ELL",610,521,85.4
"Bristol School District","ELL",21,16,76.2
"Brookfield School District","Non-ELL","*","*","*"
"Brookfield School District","ELL","*","*","*"
"Canton School District","Non-ELL",119,116,97.5
"Capitol Region Education Council","Non-ELL",326,260,79.8
"Capitol Region Education Council","ELL",9,6,66.7
"Cheshire School District","Non-ELL","*","*","*"
"Cheshire School District","ELL","*","*","*"
"Clinton School District","Non-ELL","*","*","*"
"Clinton School District","ELL","*","*","*"
"Colchester School District","Non-ELL","*","*","*"
"Colchester School District","ELL","*","*","*"
"Common Ground High School District","Non-ELL","*","*","*"
"Common Ground High School District","ELL","*","*","*"
"Connecticut Technical High School System","Non-ELL",2428,2335,96.2
"Connecticut Technical High School System","ELL",103,93,90.3
"Coventry School District","Non-ELL",153,132,86.3
"Cromwell School District","Non-ELL","*","*","*"
"Cromwell School District","ELL","*","*","*"
"Danbury School District","Non-ELL",644,518,80.4
"Danbury School District","ELL",113,63,55.8
"Darien School District","Non-ELL","*","*","*"
"Darien School District","ELL","*","*","*"
"Derby School District","Non-ELL",97,73,75.3
"Derby School District","ELL",9,7,77.8
"East Granby School District","Non-ELL",61,58,95.1
"East Haddam School District","Non-ELL","*","*","*"
"East Haddam School District","ELL","*","*","*"
"East Hampton School District","Non-ELL","*","*","*"
"East Hampton School District","ELL","*","*","*"
"East Hartford School District","Non-ELL",556,431,77.5
"East Hartford School District","ELL",35,22,62.9
"East Haven School District","Non-ELL",220,160,72.7
"East Haven School District","ELL",10,6,60.0
"East Lyme School District","Non-ELL",303,286,94.4
"East Windsor School District","Non-ELL",89,77,86.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*"
"Ellington School District","Non-ELL","*","*","*"
"Ellington School District","ELL","*","*","*"
"Elm City College Preparatory School District","Non-ELL",19,15,78.9
"Enfield School District","Non-ELL","*","*","*"
"Enfield School District","ELL","*","*","*"
"Explorations District","Non-ELL",28,16,57.1
"Fairfield School District","Non-ELL",677,639,94.4
"Fairfield School District","ELL",13,11,84.6
"Farmington School District","Non-ELL","*","*","*"
"Farmington School District","ELL","*","*","*"
"Glastonbury School District","Non-ELL","*","*","*"
"Glastonbury School District","ELL","*","*","*"
"Granby School District","Non-ELL",189,184,97.4
"Greenwich School District","Non-ELL",616,573,93.0
"Greenwich School District","ELL",30,23,76.7
"Griswold School District","Non-ELL","*","*","*"
"Griswold School District","ELL","*","*","*"
"Groton School District","Non-ELL",334,275,82.3
"Groton School District","ELL",11,7,63.6
"Guilford School District","Non-ELL",287,280,97.6
"Hamden School District","Non-ELL",510,430,84.3
"Hamden School District","ELL",13,11,84.6
"Hartford School District","Non-ELL",1195,809,67.7
"Hartford School District","ELL",201,93,46.3
"Killingly School District","Non-ELL","*","*","*"
"Killingly School District","ELL","*","*","*"
"Lebanon School District","Non-ELL",132,116,87.9
"Ledyard School District","Non-ELL","*","*","*"
"Ledyard School District","ELL","*","*","*"
"Lisbon School District","Non-ELL","*","*","*"
"Litchfield School District","Non-ELL",103,100,97.1
