"Four-Year Graduation Rates, 2012-13"
"All Districts, English Learner Status"

"",,,"Non-Graduates",,,
"District","English Learner Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","ELL","*","*","*","*","*"
"Amistad Academy District","Non-ELL","*","*","*","*","*"
"Ansonia School District","ELL",13,"*","*","*","*"
"Ansonia School District","Non-ELL",199,"*","*","*","*"
"Avon School District","ELL","*","*","*","*","*"
"Avon School District","Non-ELL","*","*","*","*","*"
"Berlin School District","ELL","*","*","*","*","*"
"Berlin School District","Non-ELL","*","*","*","*","*"
"Bethel School District","ELL","*","*","*","*","*"
"Bethel School District","Non-ELL","*","*","*","*","*"
"Bloomfield School District","ELL","*","*","*","*","*"
"Bloomfield School District","Non-ELL","*","*","*","*","*"
"Bolton School District","Non-ELL",81,"*","*","*","*"
"Branford School District","ELL","*","*","*","*","*"
"Branford School District","Non-ELL","*","*","*","*","*"
"Bridgeport School District","ELL",170,18,10.6,53,31.2
"Bridgeport School District","Non-ELL",1059,117,11.0,214,20.2
"Bristol School District","ELL",25,7,28.0,"*","*"
"Bristol School District","Non-ELL",610,47,7.7,"*","*"
"Brookfield School District","ELL","*","*","*","*","*"
"Brookfield School District","Non-ELL","*","*","*","*","*"
"Canton School District","Non-ELL",124,"*","*","*","*"
"Capitol Region Education Council","ELL",9,"*","*","*","*"
"Capitol Region Education Council","Non-ELL",237,"*","*","*","*"
"Cheshire School District","ELL","*","*","*","*","*"
"Cheshire School District","Non-ELL","*","*","*","*","*"
"Clinton School District","ELL","*","*","*","*","*"
"Clinton School District","Non-ELL","*","*","*","*","*"
"Colchester School District","ELL","*","*","*","*","*"
"Colchester School District","Non-ELL","*","*","*","*","*"
"Common Ground High School District","ELL","*","*","*","*","*"
"Common Ground High School District","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","ELL",96,"*","*",9,9.4
"Connecticut Technical High School System","Non-ELL",2387,"*","*",71,3.0
"Coventry School District","ELL","*","*","*","*","*"
"Coventry School District","Non-ELL","*","*","*","*","*"
"Cromwell School District","ELL","*","*","*","*","*"
"Cromwell School District","Non-ELL","*","*","*","*","*"
"Danbury School District","ELL",133,36,27.1,31,23.3
"Danbury School District","Non-ELL",646,65,10.1,59,9.1
"Darien School District","Non-ELL",316,"*","*","*","*"
"Department of Mental Health and Addiction Services","Non-ELL","*","*","*","*","*"
"Derby School District","ELL","*","*","*","*","*"
"Derby School District","Non-ELL","*","*","*","*","*"
"East Granby School District","Non-ELL",71,"*","*","*","*"
"East Haddam School District","Non-ELL",100,"*","*","*","*"
"East Hampton School District","ELL","*","*","*","*","*"
"East Hampton School District","Non-ELL","*","*","*","*","*"
"East Hartford School District","ELL",37,6,16.2,6,16.2
"East Hartford School District","Non-ELL",519,39,7.5,72,13.9
"East Haven School District","ELL","*","*","*","*","*"
"East Haven School District","Non-ELL","*","*","*","*","*"
"East Lyme School District","ELL","*","*","*","*","*"
"East Lyme School District","Non-ELL","*","*","*","*","*"
"East Windsor School District","ELL","*","*","*","*","*"
"East Windsor School District","Non-ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","*","*","*","*"
"Ellington School District","ELL","*","*","*","*","*"
"Ellington School District","Non-ELL","*","*","*","*","*"
"Elm City College Preparatory School District","Non-ELL",13,"*","*","*","*"
"Enfield School District","ELL","*","*","*","*","*"
"Enfield School District","Non-ELL","*","*","*","*","*"
"Explorations District","ELL","*","*","*","*","*"
"Explorations District","Non-ELL","*","*","*","*","*"
"Fairfield School District","ELL",14,"*","*","*","*"
"Fairfield School District","Non-ELL",694,"*","*","*","*"
"Farmington School District","ELL","*","*","*","*","*"
"Farmington School District","Non-ELL","*","*","*","*","*"
"Glastonbury School District","ELL","*","*","*","*","*"
"Glastonbury School District","Non-ELL","*","*","*","*","*"
"Granby School District","Non-ELL",197,"*","*","*","*"
"Greenwich School District","ELL",24,"*","*","*","*"
"Greenwich School District","Non-ELL",667,"*","*","*","*"
"Griswold School District","Non-ELL",170,9,5.3,13,7.6
"Groton School District","ELL",9,"*","*","*","*"
"Groton School District","Non-ELL",318,"*","*","*","*"
"Guilford School District","ELL","*","*","*","*","*"
"Guilford School District","Non-ELL","*","*","*","*","*"
"Hamden School District","ELL",10,"*","*","*","*"
"Hamden School District","Non-ELL",445,"*","*","*","*"
"Hartford School District","ELL",222,21,9.5,72,32.4
"Hartford School District","Non-ELL",1196,72,6.0,239,20.0
"Killingly School District","ELL","*","*","*","*","*"
"Killingly School District","Non-ELL","*","*","*","*","*"
"Learn","ELL","*","*","*","*","*"
"Learn","Non-ELL","*","*","*","*","*"
"Lebanon School District","ELL","*","*","*","*","*"
"Lebanon School District","Non-ELL","*","*","*","*","*"
"Ledyard School District","Non-ELL",232,13,5.6,11,4.7
"Lisbon School District","Non-ELL",6,"*","*","*","*"
"Litchfield School District","ELL","*","*","*","*","*"
"Litchfield School District","Non-ELL","*","*","*","*","*"
"Madison School District","Non-ELL",317,"*","*","*","*"
"Manchester School District","ELL",27,"*","*","*","*"
"Manchester School District","Non-ELL",452,"*","*","*","*"
"Meriden School District","ELL",62,12,19.4,20,32.3
"Meriden School District","Non-ELL",577,47,8.1,110,19.1
"Middletown School District","ELL",12,"*","*","*","*"
"Middletown School District","Non-ELL",367,"*","*","*","*"
"Milford School District","ELL","*","*","*","*","*"
"Milford School District","Non-ELL","*","*","*","*","*"
"Monroe School District","Non-ELL",309,"*","*","*","*"
"Montville School District","ELL",8,"*","*","*","*"
"Montville School District","Non-ELL",180,"*","*","*","*"
"Naugatuck School District","ELL",14,"*","*","*","*"
"Naugatuck School District","Non-ELL",321,"*","*","*","*"
"New Britain School District","ELL",118,19,16.1,36,30.5
"New Britain School District","Non-ELL",536,72,13.4,129,24.1
"New Canaan School District","ELL","*","*","*","*","*"
"New Canaan School District","Non-ELL","*","*","*","*","*"
"New Fairfield School District","ELL","*","*","*","*","*"
"New Fairfield School District","Non-ELL","*","*","*","*","*"
"New Haven School District","ELL",136,17,12.5,47,34.6
"New Haven School District","Non-ELL",1179,86,7.3,226,19.2
"New London School District","ELL",60,6,10.0,15,25.0
"New London School District","Non-ELL",197,21,10.7,50,25.4
"New Milford School District","ELL",6,"*","*","*","*"
"New Milford School District","Non-ELL",386,"*","*","*","*"
"Newington School District","ELL",15,"*","*","*","*"
"Newington School District","Non-ELL",361,"*","*","*","*"
"Newtown School District","Non-ELL",471,"*","*","*","*"
"North Branford School District","ELL","*","*","*","*","*"
"North Branford School District","Non-ELL","*","*","*","*","*"
"North Haven School District","ELL","*","*","*","*","*"
"North Haven School District","Non-ELL","*","*","*","*","*"
"North Stonington School District","Non-ELL",48,"*","*","*","*"
"Norwalk School District","ELL",80,7,8.8,21,26.3
"Norwalk School District","Non-ELL",700,28,4.0,63,9.0
"Norwich Free Academy District","ELL",34,"*","*","*","*"
"Norwich Free Academy District","Non-ELL",581,"*","*","*","*"
"Old Saybrook School District","ELL","*","*","*","*","*"
"Old Saybrook School District","Non-ELL","*","*","*","*","*"
"Oxford School District","ELL","*","*","*","*","*"
"Oxford School District","Non-ELL","*","*","*","*","*"
"Plainfield School District","ELL","*","*","*","*","*"
"Plainfield School District","Non-ELL","*","*","*","*","*"
"Plainville School District","ELL","*","*","*","*","*"
"Plainville School District","Non-ELL","*","*","*","*","*"
"Plymouth School District","ELL","*","*","*","*","*"
"Plymouth School District","Non-ELL","*","*","*","*","*"
"Portland School District","ELL","*","*","*","*","*"
"Portland School District","Non-ELL","*","*","*","*","*"
"Putnam School District","Non-ELL",96,16,16.7,6,6.3
"Regional School District 01","ELL","*","*","*","*","*"
"Regional School District 01","Non-ELL","*","*","*","*","*"
"Regional School District 04","Non-ELL",163,"*","*","*","*"
"Regional School District 05","ELL","*","*","*","*","*"
"Regional School District 05","Non-ELL","*","*","*","*","*"
"Regional School District 06","ELL","*","*","*","*","*"
"Regional School District 06","Non-ELL","*","*","*","*","*"
"Regional School District 07","Non-ELL",194,"*","*","*","*"
"Regional School District 08","Non-ELL",285,14,4.9,9,3.2
"Regional School District 09","ELL","*","*","*","*","*"
"Regional School District 09","Non-ELL","*","*","*","*","*"
"Regional School District 10","ELL","*","*","*","*","*"
"Regional School District 10","Non-ELL","*","*","*","*","*"
"Regional School District 11","Non-ELL",44,"*","*","*","*"
"Regional School District 12","ELL","*","*","*","*","*"
"Regional School District 12","Non-ELL","*","*","*","*","*"
"Regional School District 13","ELL","*","*","*","*","*"
"Regional School District 13","Non-ELL","*","*","*","*","*"
"Regional School District 14","ELL","*","*","*","*","*"
"Regional School District 14","Non-ELL","*","*","*","*","*"
"Regional School District 15","ELL","*","*","*","*","*"
"Regional School District 15","Non-ELL","*","*","*","*","*"
"Regional School District 16","ELL","*","*","*","*","*"
"Regional School District 16","Non-ELL","*","*","*","*","*"
