"Four-Year Graduation Rates, 2012-13"
"All Districts, English Learner Status"

"",,,"Graduates",,"Non-Graduates",,,
"District","English Learner Status","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","ELL","*","*","*","*","*","*","*"
"Amistad Academy District","Non-ELL","*","*","*","*","*","*","*"
"Ansonia School District","ELL",13,8,61.5,"*","*","*","*"
"Ansonia School District","Non-ELL",199,152,76.4,"*","*","*","*"
"Avon School District","ELL","*","*","*","*","*","*","*"
"Avon School District","Non-ELL","*","*","*","*","*","*","*"
"Berlin School District","ELL","*","*","*","*","*","*","*"
"Berlin School District","Non-ELL","*","*","*","*","*","*","*"
"Bethel School District","ELL","*","*","*","*","*","*","*"
"Bethel School District","Non-ELL","*","*","*","*","*","*","*"
"Bloomfield School District","ELL","*","*","*","*","*","*","*"
"Bloomfield School District","Non-ELL","*","*","*","*","*","*","*"
"Bolton School District","Non-ELL",81,79,97.5,"*","*","*","*"
"Branford School District","ELL","*","*","*","*","*","*","*"
"Branford School District","Non-ELL","*","*","*","*","*","*","*"
"Bridgeport School District","ELL",170,99,58.2,18,10.6,53,31.2
"Bridgeport School District","Non-ELL",1059,728,68.7,117,11.0,214,20.2
"Bristol School District","ELL",25,13,52.0,7,28.0,"*","*"
"Bristol School District","Non-ELL",610,494,81.0,47,7.7,"*","*"
"Brookfield School District","ELL","*","*","*","*","*","*","*"
"Brookfield School District","Non-ELL","*","*","*","*","*","*","*"
"Canton School District","Non-ELL",124,117,94.4,"*","*","*","*"
"Capitol Region Education Council","ELL",9,9,100.0,"*","*","*","*"
"Capitol Region Education Council","Non-ELL",237,200,84.4,"*","*","*","*"
"Cheshire School District","ELL","*","*","*","*","*","*","*"
"Cheshire School District","Non-ELL","*","*","*","*","*","*","*"
"Clinton School District","ELL","*","*","*","*","*","*","*"
"Clinton School District","Non-ELL","*","*","*","*","*","*","*"
"Colchester School District","ELL","*","*","*","*","*","*","*"
"Colchester School District","Non-ELL","*","*","*","*","*","*","*"
"Common Ground High School District","ELL","*","*","*","*","*","*","*"
"Common Ground High School District","Non-ELL","*","*","*","*","*","*","*"
"Connecticut Technical High School System","ELL",96,84,87.5,"*","*",9,9.4
"Connecticut Technical High School System","Non-ELL",2387,2308,96.7,"*","*",71,3.0
"Coventry School District","ELL","*","*","*","*","*","*","*"
"Coventry School District","Non-ELL","*","*","*","*","*","*","*"
"Cromwell School District","ELL","*","*","*","*","*","*","*"
"Cromwell School District","Non-ELL","*","*","*","*","*","*","*"
"Danbury School District","ELL",133,66,49.6,36,27.1,31,23.3
"Danbury School District","Non-ELL",646,522,80.8,65,10.1,59,9.1
"Darien School District","Non-ELL",316,307,97.2,"*","*","*","*"
"Department of Mental Health and Addiction Services","Non-ELL","*","*","*","*","*","*","*"
"Derby School District","ELL","*","*","*","*","*","*","*"
"Derby School District","Non-ELL","*","*","*","*","*","*","*"
"East Granby School District","Non-ELL",71,67,94.4,"*","*","*","*"
"East Haddam School District","Non-ELL",100,96,96.0,"*","*","*","*"
"East Hampton School District","ELL","*","*","*","*","*","*","*"
"East Hampton School District","Non-ELL","*","*","*","*","*","*","*"
"East Hartford School District","ELL",37,25,67.6,6,16.2,6,16.2
"East Hartford School District","Non-ELL",519,407,78.4,39,7.5,72,13.9
"East Haven School District","ELL","*","*","*","*","*","*","*"
"East Haven School District","Non-ELL","*","*","*","*","*","*","*"
"East Lyme School District","ELL","*","*","*","*","*","*","*"
"East Lyme School District","Non-ELL","*","*","*","*","*","*","*"
"East Windsor School District","ELL","*","*","*","*","*","*","*"
"East Windsor School District","Non-ELL","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","*","*","*","*","*","*"
"Ellington School District","ELL","*","*","*","*","*","*","*"
"Ellington School District","Non-ELL","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","Non-ELL",13,8,61.5,"*","*","*","*"
"Enfield School District","ELL","*","*","*","*","*","*","*"
"Enfield School District","Non-ELL","*","*","*","*","*","*","*"
"Explorations District","ELL","*","*","*","*","*","*","*"
"Explorations District","Non-ELL","*","*","*","*","*","*","*"
"Fairfield School District","ELL",14,11,78.6,"*","*","*","*"
"Fairfield School District","Non-ELL",694,645,92.9,"*","*","*","*"
"Farmington School District","ELL","*","*","*","*","*","*","*"
"Farmington School District","Non-ELL","*","*","*","*","*","*","*"
"Glastonbury School District","ELL","*","*","*","*","*","*","*"
"Glastonbury School District","Non-ELL","*","*","*","*","*","*","*"
"Granby School District","Non-ELL",197,192,97.5,"*","*","*","*"
"Greenwich School District","ELL",24,19,79.2,"*","*","*","*"
"Greenwich School District","Non-ELL",667,636,95.4,"*","*","*","*"
"Griswold School District","Non-ELL",170,148,87.1,9,5.3,13,7.6
"Groton School District","ELL",9,7,77.8,"*","*","*","*"
"Groton School District","Non-ELL",318,262,82.4,"*","*","*","*"
"Guilford School District","ELL","*","*","*","*","*","*","*"
"Guilford School District","Non-ELL","*","*","*","*","*","*","*"
"Hamden School District","ELL",10,8,80.0,"*","*","*","*"
"Hamden School District","Non-ELL",445,380,85.4,"*","*","*","*"
"Hartford School District","ELL",222,125,56.3,21,9.5,72,32.4
"Hartford School District","Non-ELL",1196,884,73.9,72,6.0,239,20.0
"Killingly School District","ELL","*","*","*","*","*","*","*"
"Killingly School District","Non-ELL","*","*","*","*","*","*","*"
"Learn","ELL","*","*","*","*","*","*","*"
"Learn","Non-ELL","*","*","*","*","*","*","*"
"Lebanon School District","ELL","*","*","*","*","*","*","*"
"Lebanon School District","Non-ELL","*","*","*","*","*","*","*"
"Ledyard School District","Non-ELL",232,208,89.7,13,5.6,11,4.7
"Lisbon School District","Non-ELL",6,"*","*","*","*","*","*"
"Litchfield School District","ELL","*","*","*","*","*","*","*"
"Litchfield School District","Non-ELL","*","*","*","*","*","*","*"
"Madison School District","Non-ELL",317,313,98.7,"*","*","*","*"
"Manchester School District","ELL",27,18,66.7,"*","*","*","*"
"Manchester School District","Non-ELL",452,340,75.2,"*","*","*","*"
"Meriden School District","ELL",62,30,48.4,12,19.4,20,32.3
"Meriden School District","Non-ELL",577,418,72.4,47,8.1,110,19.1
"Middletown School District","ELL",12,8,66.7,"*","*","*","*"
"Middletown School District","Non-ELL",367,299,81.5,"*","*","*","*"
"Milford School District","ELL","*","*","*","*","*","*","*"
"Milford School District","Non-ELL","*","*","*","*","*","*","*"
"Monroe School District","Non-ELL",309,300,97.1,"*","*","*","*"
"Montville School District","ELL",8,6,75.0,"*","*","*","*"
"Montville School District","Non-ELL",180,155,86.1,"*","*","*","*"
"Naugatuck School District","ELL",14,7,50.0,"*","*","*","*"
"Naugatuck School District","Non-ELL",321,254,79.1,"*","*","*","*"
"New Britain School District","ELL",118,63,53.4,19,16.1,36,30.5
"New Britain School District","Non-ELL",536,335,62.5,72,13.4,129,24.1
"New Canaan School District","ELL","*","*","*","*","*","*","*"
"New Canaan School District","Non-ELL","*","*","*","*","*","*","*"
"New Fairfield School District","ELL","*","*","*","*","*","*","*"
"New Fairfield School District","Non-ELL","*","*","*","*","*","*","*"
"New Haven School District","ELL",136,72,52.9,17,12.5,47,34.6
"New Haven School District","Non-ELL",1179,867,73.5,86,7.3,226,19.2
"New London School District","ELL",60,39,65.0,6,10.0,15,25.0
"New London School District","Non-ELL",197,126,64.0,21,10.7,50,25.4
"New Milford School District","ELL",6,"*","*","*","*","*","*"
"New Milford School District","Non-ELL",386,"*","*","*","*","*","*"
"Newington School District","ELL",15,12,80.0,"*","*","*","*"
"Newington School District","Non-ELL",361,327,90.6,"*","*","*","*"
"Newtown School District","Non-ELL",471,443,94.1,"*","*","*","*"
"North Branford School District","ELL","*","*","*","*","*","*","*"
"North Branford School District","Non-ELL","*","*","*","*","*","*","*"
"North Haven School District","ELL","*","*","*","*","*","*","*"
"North Haven School District","Non-ELL","*","*","*","*","*","*","*"
"North Stonington School District","Non-ELL",48,46,95.8,"*","*","*","*"
"Norwalk School District","ELL",80,52,65.0,7,8.8,21,26.3
"Norwalk School District","Non-ELL",700,609,87.0,28,4.0,63,9.0
