"Four-Year Graduation Rates, 2011-12"
"All Districts, English Learner Status"

"",,,"Non-Graduates",,,
"District","English Learner Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-ELL",21,"*","*","*","*"
"Ansonia School District","Non-ELL",195,"*","*","*","*"
"Ansonia School District","ELL",10,"*","*","*","*"
"Avon School District","Non-ELL","*","*","*","*","*"
"Avon School District","ELL","*","*","*","*","*"
"Berlin School District","Non-ELL","*","*","*","*","*"
"Berlin School District","ELL","*","*","*","*","*"
"Bethel School District","Non-ELL","*","*","*","*","*"
"Bethel School District","ELL","*","*","*","*","*"
"Bloomfield School District","Non-ELL",196,29,14.8,14,7.1
"Bolton School District","Non-ELL",73,"*","*","*","*"
"Branford School District","Non-ELL","*","*","*","*","*"
"Branford School District","ELL","*","*","*","*","*"
"Bridgeport School District","Non-ELL",1065,96,9.0,240,22.5
"Bridgeport School District","ELL",208,22,10.6,70,33.7
"Bristol School District","Non-ELL",610,"*","*","*","*"
"Bristol School District","ELL",21,"*","*","*","*"
"Brookfield School District","Non-ELL","*","*","*","*","*"
"Brookfield School District","ELL","*","*","*","*","*"
"Canton School District","Non-ELL",119,"*","*","*","*"
"Capitol Region Education Council","Non-ELL",326,"*","*","*","*"
"Capitol Region Education Council","ELL",9,"*","*","*","*"
"Cheshire School District","Non-ELL","*","*","*","*","*"
"Cheshire School District","ELL","*","*","*","*","*"
"Clinton School District","Non-ELL","*","*","*","*","*"
"Clinton School District","ELL","*","*","*","*","*"
"Colchester School District","Non-ELL","*","*","*","*","*"
"Colchester School District","ELL","*","*","*","*","*"
"Common Ground High School District","Non-ELL","*","*","*","*","*"
"Common Ground High School District","ELL","*","*","*","*","*"
"Connecticut Technical High School System","Non-ELL",2428,"*","*",86,3.5
"Connecticut Technical High School System","ELL",103,"*","*",10,9.7
"Coventry School District","Non-ELL",153,10,6.5,11,7.2
"Cromwell School District","Non-ELL","*","*","*","*","*"
"Cromwell School District","ELL","*","*","*","*","*"
"Danbury School District","Non-ELL",644,66,10.2,60,9.3
"Danbury School District","ELL",113,26,23.0,24,21.2
"Darien School District","Non-ELL","*","*","*","*","*"
"Darien School District","ELL","*","*","*","*","*"
"Derby School District","Non-ELL",97,"*","*","*","*"
"Derby School District","ELL",9,"*","*","*","*"
"East Granby School District","Non-ELL",61,"*","*","*","*"
"East Haddam School District","Non-ELL","*","*","*","*","*"
"East Haddam School District","ELL","*","*","*","*","*"
"East Hampton School District","Non-ELL","*","*","*","*","*"
"East Hampton School District","ELL","*","*","*","*","*"
"East Hartford School District","Non-ELL",556,51,9.2,74,13.3
"East Hartford School District","ELL",35,6,17.1,7,20.0
"East Haven School District","Non-ELL",220,"*","*","*","*"
"East Haven School District","ELL",10,"*","*","*","*"
"East Lyme School District","Non-ELL",303,7,2.3,10,3.3
"East Windsor School District","Non-ELL",89,6,6.7,6,6.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*","*","*"
"Ellington School District","Non-ELL","*","*","*","*","*"
"Ellington School District","ELL","*","*","*","*","*"
"Elm City College Preparatory School District","Non-ELL",19,"*","*","*","*"
"Enfield School District","Non-ELL","*","*","*","*","*"
"Enfield School District","ELL","*","*","*","*","*"
"Explorations District","Non-ELL",28,"*","*","*","*"
"Fairfield School District","Non-ELL",677,"*","*","*","*"
"Fairfield School District","ELL",13,"*","*","*","*"
"Farmington School District","Non-ELL","*","*","*","*","*"
"Farmington School District","ELL","*","*","*","*","*"
"Glastonbury School District","Non-ELL","*","*","*","*","*"
"Glastonbury School District","ELL","*","*","*","*","*"
"Granby School District","Non-ELL",189,"*","*","*","*"
"Greenwich School District","Non-ELL",616,"*","*","*","*"
"Greenwich School District","ELL",30,"*","*","*","*"
"Griswold School District","Non-ELL","*","*","*","*","*"
"Griswold School District","ELL","*","*","*","*","*"
"Groton School District","Non-ELL",334,"*","*","*","*"
"Groton School District","ELL",11,"*","*","*","*"
"Guilford School District","Non-ELL",287,"*","*","*","*"
"Hamden School District","Non-ELL",510,"*","*","*","*"
"Hamden School District","ELL",13,"*","*","*","*"
"Hartford School District","Non-ELL",1195,193,16.2,193,16.2
"Hartford School District","ELL",201,51,25.4,57,28.4
"Killingly School District","Non-ELL","*","*","*","*","*"
"Killingly School District","ELL","*","*","*","*","*"
"Lebanon School District","Non-ELL",132,"*","*","*","*"
"Ledyard School District","Non-ELL","*","*","*","*","*"
"Ledyard School District","ELL","*","*","*","*","*"
"Lisbon School District","Non-ELL","*","*","*","*","*"
"Litchfield School District","Non-ELL",103,"*","*","*","*"
"Madison School District","Non-ELL","*","*","*","*","*"
"Madison School District","ELL","*","*","*","*","*"
"Manchester School District","Non-ELL",502,"*","*","*","*"
"Manchester School District","ELL",16,"*","*","*","*"
"Meriden School District","Non-ELL",554,39,7.0,116,20.9
"Meriden School District","ELL",73,12,16.4,24,32.9
"Middletown School District","Non-ELL","*","*","*","*","*"
"Middletown School District","ELL","*","*","*","*","*"
"Milford School District","Non-ELL",507,"*","*","*","*"
"Milford School District","ELL",8,"*","*","*","*"
