"Four-Year Graduation Rates, 2013-14"
"All Districts, English Learner Status"

"",,,"Graduates",
"District","English Learner Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Non-ELL",23,19,82.6
"Ansonia School District","Non-ELL","*","*","*"
"Ansonia School District","ELL","*","*","*"
"Avon School District","Non-ELL",272,265,97.4
"Berlin School District","Non-ELL","*","*","*"
"Berlin School District","ELL","*","*","*"
"Bethel School District","Non-ELL",238,"*","*"
"Bethel School District","ELL",6,"*","*"
"Bloomfield School District","Non-ELL","*","*","*"
"Bloomfield School District","ELL","*","*","*"
"Bolton School District","Non-ELL",103,97,94.2
"Branford School District","Non-ELL","*","*","*"
"Branford School District","ELL","*","*","*"
"Bridgeport School District","Non-ELL",1075,786,73.1
"Bridgeport School District","ELL",172,106,61.6
"Bristol School District","Non-ELL",678,558,82.3
"Bristol School District","ELL",21,14,66.7
"Brookfield School District","Non-ELL","*","*","*"
"Brookfield School District","ELL","*","*","*"
"Canton School District","Non-ELL",136,128,94.1
"Capitol Region Education Council","Non-ELL","*","*","*"
"Capitol Region Education Council","ELL","*","*","*"
"Cheshire School District","Non-ELL","*","*","*"
"Cheshire School District","ELL","*","*","*"
"Clinton School District","Non-ELL","*","*","*"
"Clinton School District","ELL","*","*","*"
"Colchester School District","Non-ELL","*","*","*"
"Colchester School District","ELL","*","*","*"
"Common Ground High School District","Non-ELL",29,26,89.7
"Connecticut Technical High School System","Non-ELL",2386,2292,96.1
"Connecticut Technical High School System","ELL",37,37,100.0
"Coventry School District","Non-ELL",133,128,96.2
"Cromwell School District","Non-ELL","*","*","*"
"Cromwell School District","ELL","*","*","*"
"Danbury School District","Non-ELL",676,552,81.7
"Danbury School District","ELL",85,42,49.4
"Darien School District","Non-ELL","*","*","*"
"Darien School District","ELL","*","*","*"
"Department of Mental Health and Addiction Services","Non-ELL","*","*","*"
"Department of Mental Health and Addiction Services","ELL","*","*","*"
"Derby School District","Non-ELL","*","*","*"
"Derby School District","ELL","*","*","*"
"East Granby School District","Non-ELL",66,60,90.9
"East Haddam School District","Non-ELL",105,98,93.3
"East Hampton School District","Non-ELL",121,117,96.7
"East Hartford School District","Non-ELL",472,377,79.9
"East Hartford School District","ELL",35,20,57.1
"East Haven School District","Non-ELL",252,"*","*"
"East Haven School District","ELL",8,"*","*"
"East Lyme School District","Non-ELL","*","*","*"
"East Lyme School District","ELL","*","*","*"
"East Windsor School District","Non-ELL","*","*","*"
"East Windsor School District","ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*"
"Ellington School District","Non-ELL","*","*","*"
"Ellington School District","ELL","*","*","*"
"Elm City College Preparatory School District","Non-ELL","*","*","*"
"Elm City College Preparatory School District","ELL","*","*","*"
"Enfield School District","Non-ELL","*","*","*"
"Enfield School District","ELL","*","*","*"
"Explorations District","Non-ELL",27,18,66.7
"Fairfield School District","Non-ELL",717,676,94.3
"Fairfield School District","ELL",11,7,63.6
"Farmington School District","Non-ELL","*","*","*"
"Farmington School District","ELL","*","*","*"
"Glastonbury School District","Non-ELL","*","*","*"
"Glastonbury School District","ELL","*","*","*"
"Granby School District","Non-ELL","*","*","*"
"Granby School District","ELL","*","*","*"
"Greenwich School District","Non-ELL",643,617,96.0
"Greenwich School District","ELL",27,20,74.1
"Griswold School District","Non-ELL",170,144,84.7
"Groton School District","Non-ELL",307,262,85.3
"Groton School District","ELL",10,7,70.0
"Guilford School District","Non-ELL","*","*","*"
"Guilford School District","ELL","*","*","*"
"Hamden School District","Non-ELL",447,398,89.0
"Hamden School District","ELL",11,10,90.9
"Hartford School District","Non-ELL",1182,868,73.4
"Hartford School District","ELL",188,112,59.6
"Killingly School District","Non-ELL","*","*","*"
"Killingly School District","ELL","*","*","*"
"Learn","Non-ELL","*","*","*"
"Learn","ELL","*","*","*"
"Lebanon School District","Non-ELL",105,98,93.3
"Ledyard School District","Non-ELL","*","*","*"
"Ledyard School District","ELL","*","*","*"
"Lisbon School District","Non-ELL","*","*","*"
"Litchfield School District","Non-ELL",69,64,92.8
"Madison School District","Non-ELL","*","*","*"
"Madison School District","ELL","*","*","*"
"Manchester School District","Non-ELL",440,364,82.7
"Manchester School District","ELL",14,9,64.3
"Meriden School District","Non-ELL",554,436,78.7
"Meriden School District","ELL",61,32,52.5
"Middletown School District","Non-ELL","*","*","*"
"Middletown School District","ELL","*","*","*"
"Milford School District","Non-ELL","*","*","*"
"Milford School District","ELL","*","*","*"
"Monroe School District","Non-ELL",300,289,96.3
"Montville School District","Non-ELL",186,"*","*"
"Montville School District","ELL",7,"*","*"
"Naugatuck School District","Non-ELL",324,267,82.4
"Naugatuck School District","ELL",9,6,66.7
"New Britain School District","Non-ELL",563,370,65.7
"New Britain School District","ELL",93,47,50.5
"New Canaan School District","Non-ELL",312,307,98.4
"New Fairfield School District","Non-ELL","*","*","*"
"New Fairfield School District","ELL","*","*","*"
"New Haven School District","Non-ELL",1206,929,77.0
"New Haven School District","ELL",103,59,57.3
"New London School District","Non-ELL",189,138,73.0
"New London School District","ELL",39,24,61.5
"New Milford School District","Non-ELL","*","*","*"
"New Milford School District","ELL","*","*","*"
"Newington School District","Non-ELL",353,329,93.2
"Newington School District","ELL",11,9,81.8
"Newtown School District","Non-ELL","*","*","*"
"Newtown School District","ELL","*","*","*"
"North Branford School District","Non-ELL","*","*","*"
"North Branford School District","ELL","*","*","*"
"North Haven School District","Non-ELL","*","*","*"
"North Haven School District","ELL","*","*","*"
"North Stonington School District","Non-ELL",56,54,96.4
"Norwalk School District","Non-ELL",756,646,85.4
"Norwalk School District","ELL",66,43,65.2
"Norwich Free Academy District","Non-ELL",582,506,86.9
"Norwich Free Academy District","ELL",31,27,87.1
"Old Saybrook School District","Non-ELL","*","*","*"
"Old Saybrook School District","ELL","*","*","*"
"Oxford School District","Non-ELL","*","*","*"
"Oxford School District","ELL","*","*","*"
"Plainfield School District","Non-ELL","*","*","*"
"Plainfield School District","ELL","*","*","*"
"Plainville School District","Non-ELL","*","*","*"
"Plainville School District","ELL","*","*","*"
"Plymouth School District","Non-ELL","*","*","*"
"Plymouth School District","ELL","*","*","*"
"Portland School District","Non-ELL","*","*","*"
"Portland School District","ELL","*","*","*"
"Putnam School District","Non-ELL","*","*","*"
"Putnam School District","ELL","*","*","*"
"Regional School District 01","Non-ELL",121,108,89.3
"Regional School District 04","Non-ELL","*","*","*"
"Regional School District 04","ELL","*","*","*"
"Regional School District 05","Non-ELL","*","*","*"
"Regional School District 05","ELL","*","*","*"
"Regional School District 06","Non-ELL","*","*","*"
"Regional School District 06","ELL","*","*","*"
"Regional School District 07","Non-ELL",211,195,92.4
"Regional School District 08","Non-ELL","*","*","*"
"Regional School District 08","ELL","*","*","*"
"Regional School District 09","Non-ELL","*","*","*"
"Regional School District 09","ELL","*","*","*"
"Regional School District 10","Non-ELL",218,206,94.5
"Regional School District 11","Non-ELL",40,37,92.5
"Regional School District 12","Non-ELL",81,76,93.8
"Regional School District 13","Non-ELL",134,125,93.3
"Regional School District 14","Non-ELL","*","*","*"
"Regional School District 14","ELL","*","*","*"
"Regional School District 15","Non-ELL","*","*","*"
"Regional School District 15","ELL","*","*","*"
"Regional School District 16","Non-ELL",181,168,92.8
"Regional School District 17","Non-ELL","*","*","*"
"Regional School District 17","ELL","*","*","*"
"Regional School District 18","Non-ELL",108,105,97.2
"Regional School District 19","Non-ELL","*","*","*"
"Regional School District 19","ELL","*","*","*"
"Ridgefield School District","Non-ELL","*","*","*"
"Ridgefield School District","ELL","*","*","*"
"Rocky Hill School District","Non-ELL",177,162,91.5
"Rocky Hill School District","ELL",6,6,100.0
"Seymour School District","Non-ELL","*","*","*"
"Seymour School District","ELL","*","*","*"
"Shelton School District","Non-ELL","*","*","*"
"Shelton School District","ELL","*","*","*"
"Simsbury School District","Non-ELL","*","*","*"
"Simsbury School District","ELL","*","*","*"
"Somers School District","Non-ELL",131,127,96.9
"South Windsor School District","Non-ELL","*","*","*"
"South Windsor School District","ELL","*","*","*"
"Southington School District","Non-ELL","*","*","*"
"Southington School District","ELL","*","*","*"
"Stafford School District","Non-ELL","*","*","*"
"Stafford School District","ELL","*","*","*"
"Stamford Academy District","Non-ELL",57,14,24.6
"Stamford School District","Non-ELL",1101,992,90.1
"Stamford School District","ELL",99,75,75.8
"Stonington School District","Non-ELL",177,165,93.2
"Stratford School District","Non-ELL",637,587,92.2
"Stratford School District","ELL",9,7,77.8
"Suffield School District","Non-ELL","*","*","*"
"Suffield School District","ELL","*","*","*"
"The Bridge Academy District","Non-ELL",34,30,88.2
"The Gilbert School District","Non-ELL","*","*","*"
"The Gilbert School District","ELL","*","*","*"
"Thomaston School District","Non-ELL",72,67,93.1
"Thompson School District","Non-ELL",86,78,90.7
"Tolland School District","Non-ELL",229,209,91.3
"Torrington School District","Non-ELL",266,222,83.5
"Torrington School District","ELL",6,6,100.0
"Trumbull School District","Non-ELL",547,"*","*"
"Trumbull School District","ELL",8,"*","*"
"Unified School District #1","Non-ELL","*","*","*"
"Unified School District #1","ELL","*","*","*"
"Unified School District #2","Non-ELL",65,18,27.7
"Vernon School District","Non-ELL",291,239,82.1
"Vernon School District","ELL",8,7,87.5
"Wallingford School District","Non-ELL",484,"*","*"
"Wallingford School District","ELL",6,"*","*"
"Waterbury School District","Non-ELL",1184,846,71.5
"Waterbury School District","ELL",166,70,42.2
"Waterford School District","Non-ELL","*","*","*"
"Waterford School District","ELL","*","*","*"
"Watertown School District","Non-ELL","*","*","*"
"Watertown School District","ELL","*","*","*"
"West Hartford School District","Non-ELL",723,683,94.5
"West Hartford School District","ELL",18,14,77.8
"West Haven School District","Non-ELL",411,302,73.5
"West Haven School District","ELL",13,10,76.9
"Westbrook School District","Non-ELL",72,69,95.8
"Weston School District","Non-ELL","*","*","*"
"Weston School District","ELL","*","*","*"
"Westport School District","Non-ELL","*","*","*"
"Westport School District","ELL","*","*","*"
"Wethersfield School District","Non-ELL",299,276,92.3
"Wethersfield School District","ELL",8,6,75.0
"Wilton School District","Non-ELL","*","*","*"
"Wilton School District","ELL","*","*","*"
"Windham School District","Non-ELL",143,108,75.5
"Windham School District","ELL",40,26,65.0
"Windsor Locks School District","Non-ELL","*","*","*"
"Windsor Locks School District","ELL","*","*","*"
"Windsor School District","Non-ELL",292,"*","*"
"Windsor School District","ELL",6,"*","*"
"Wolcott School District","Non-ELL","*","*","*"
"Wolcott School District","ELL","*","*","*"
"Woodstock Academy District","Non-ELL","*","*","*"
"Woodstock Academy District","ELL","*","*","*"

