"Four-Year Graduation Rates, 2014-15"
"All Districts, English Learner Status"

"",,,"Non-Graduates",,,
"District","English Learner Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","ELL","*","*","*","*","*"
"Amistad Academy District","Non-ELL","*","*","*","*","*"
"Ansonia School District","ELL",6,"*","*","*","*"
"Ansonia School District","Non-ELL",166,"*","*","*","*"
"Avon School District","ELL","*","*","*","*","*"
"Avon School District","Non-ELL","*","*","*","*","*"
"Berlin School District","ELL","*","*","*","*","*"
"Berlin School District","Non-ELL","*","*","*","*","*"
"Bethel School District","ELL",6,"*","*","*","*"
"Bethel School District","Non-ELL",212,"*","*","*","*"
"Bloomfield School District","ELL","*","*","*","*","*"
"Bloomfield School District","Non-ELL","*","*","*","*","*"
"Bolton School District","ELL","*","*","*","*","*"
"Bolton School District","Non-ELL","*","*","*","*","*"
"Branford School District","ELL",8,"*","*","*","*"
"Branford School District","Non-ELL",245,"*","*","*","*"
"Bridgeport Achievement First District","ELL","*","*","*","*","*"
"Bridgeport Achievement First District","Non-ELL","*","*","*","*","*"
"Bridgeport School District","ELL",174,16,9.2,54,31.0
"Bridgeport School District","Non-ELL",1014,124,12.2,239,23.6
"Bristol School District","ELL",27,"*","*","*","*"
"Bristol School District","Non-ELL",620,"*","*","*","*"
"Brookfield School District","ELL","*","*","*","*","*"
"Brookfield School District","Non-ELL","*","*","*","*","*"
"Canton School District","ELL","*","*","*","*","*"
"Canton School District","Non-ELL","*","*","*","*","*"
"Capitol Region Education Council","ELL","*","*","*","*","*"
"Capitol Region Education Council","Non-ELL","*","*","*","*","*"
"Cheshire School District","ELL","*","*","*","*","*"
"Cheshire School District","Non-ELL","*","*","*","*","*"
"Clinton School District","ELL","*","*","*","*","*"
"Clinton School District","Non-ELL","*","*","*","*","*"
"Colchester School District","ELL","*","*","*","*","*"
"Colchester School District","Non-ELL","*","*","*","*","*"
"Common Ground High School District","ELL","*","*","*","*","*"
"Common Ground High School District","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","ELL",100,"*","*","*","*"
"Connecticut Technical High School System","Non-ELL",2368,"*","*","*","*"
"Coventry School District","ELL","*","*","*","*","*"
"Coventry School District","Non-ELL","*","*","*","*","*"
"Cromwell School District","ELL","*","*","*","*","*"
"Cromwell School District","Non-ELL","*","*","*","*","*"
"Danbury School District","ELL",145,41,28.3,38,26.2
"Danbury School District","Non-ELL",627,39,6.2,59,9.4
"Darien School District","ELL","*","*","*","*","*"
"Darien School District","Non-ELL","*","*","*","*","*"
"Derby School District","ELL",10,"*","*","*","*"
"Derby School District","Non-ELL",92,"*","*","*","*"
"East Granby School District","ELL","*","*","*","*","*"
"East Granby School District","Non-ELL","*","*","*","*","*"
"East Haddam School District","ELL","*","*","*","*","*"
"East Haddam School District","Non-ELL","*","*","*","*","*"
"East Hampton School District","ELL","*","*","*","*","*"
"East Hampton School District","Non-ELL","*","*","*","*","*"
"East Hartford School District","ELL",62,"*","*",13,21.0
"East Hartford School District","Non-ELL",504,"*","*",29,5.8
"East Haven School District","ELL",11,"*","*","*","*"
"East Haven School District","Non-ELL",233,"*","*","*","*"
"East Lyme School District","ELL","*","*","*","*","*"
"East Lyme School District","Non-ELL","*","*","*","*","*"
"East Windsor School District","ELL","*","*","*","*","*"
"East Windsor School District","Non-ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","*","*","*","*"
"Ellington School District","ELL","*","*","*","*","*"
"Ellington School District","Non-ELL","*","*","*","*","*"
"Elm City College Preparatory School District","ELL","*","*","*","*","*"
"Elm City College Preparatory School District","Non-ELL","*","*","*","*","*"
"Enfield School District","ELL","*","*","*","*","*"
"Enfield School District","Non-ELL","*","*","*","*","*"
"Explorations District","ELL","*","*","*","*","*"
"Explorations District","Non-ELL","*","*","*","*","*"
"Fairfield School District","ELL",18,"*","*","*","*"
"Fairfield School District","Non-ELL",699,"*","*","*","*"
"Farmington School District","ELL","*","*","*","*","*"
"Farmington School District","Non-ELL","*","*","*","*","*"
"Glastonbury School District","ELL",10,"*","*","*","*"
"Glastonbury School District","Non-ELL",514,"*","*","*","*"
"Granby School District","ELL","*","*","*","*","*"
"Granby School District","Non-ELL","*","*","*","*","*"
"Greenwich School District","ELL",29,"*","*","*","*"
"Greenwich School District","Non-ELL",618,"*","*","*","*"
"Griswold School District","ELL","*","*","*","*","*"
"Griswold School District","Non-ELL","*","*","*","*","*"
"Groton School District","ELL",7,"*","*","*","*"
"Groton School District","Non-ELL",265,"*","*","*","*"
"Guilford School District","ELL","*","*","*","*","*"
"Guilford School District","Non-ELL","*","*","*","*","*"
"Hamden School District","ELL",16,"*","*","*","*"
"Hamden School District","Non-ELL",449,"*","*","*","*"
"Hartford School District","ELL",255,39,15.3,77,30.2
"Hartford School District","Non-ELL",1229,133,10.8,194,15.8
"Killingly School District","ELL","*","*","*","*","*"
"Killingly School District","Non-ELL","*","*","*","*","*"
"Learn","ELL","*","*","*","*","*"
"Learn","Non-ELL","*","*","*","*","*"
"Lebanon School District","ELL","*","*","*","*","*"
"Lebanon School District","Non-ELL","*","*","*","*","*"
"Ledyard School District","ELL","*","*","*","*","*"
"Ledyard School District","Non-ELL","*","*","*","*","*"
"Litchfield School District","ELL","*","*","*","*","*"
"Litchfield School District","Non-ELL","*","*","*","*","*"
"Madison School District","ELL","*","*","*","*","*"
"Madison School District","Non-ELL","*","*","*","*","*"
"Manchester School District","ELL",21,"*","*","*","*"
"Manchester School District","Non-ELL",433,"*","*","*","*"
"Meriden School District","ELL",77,7,9.1,15,19.5
"Meriden School District","Non-ELL",549,42,7.7,99,18.0
"Middletown School District","ELL",7,"*","*","*","*"
"Middletown School District","Non-ELL",308,"*","*","*","*"
"Milford School District","ELL","*","*","*","*","*"
"Milford School District","Non-ELL","*","*","*","*","*"
"Monroe School District","ELL","*","*","*","*","*"
"Monroe School District","Non-ELL","*","*","*","*","*"
"Montville School District","ELL","*","*","*","*","*"
"Montville School District","Non-ELL","*","*","*","*","*"
"Naugatuck School District","ELL",8,"*","*","*","*"
"Naugatuck School District","Non-ELL",329,"*","*","*","*"
"New Britain School District","ELL",132,12,9.1,40,30.3
"New Britain School District","Non-ELL",528,60,11.4,95,18.0
"New Canaan School District","ELL","*","*","*","*","*"
"New Canaan School District","Non-ELL","*","*","*","*","*"
"New Fairfield School District","ELL","*","*","*","*","*"
"New Fairfield School District","Non-ELL","*","*","*","*","*"
"New Haven School District","ELL",162,18,11.1,53,32.7
"New Haven School District","Non-ELL",1323,101,7.6,198,15.0
"New London School District","ELL",44,7,15.9,11,25.0
"New London School District","Non-ELL",158,11,7.0,24,15.2
"New Milford School District","ELL",7,"*","*","*","*"
"New Milford School District","Non-ELL",364,"*","*","*","*"
"Newington School District","ELL",16,"*","*","*","*"
"Newington School District","Non-ELL",342,"*","*","*","*"
"Newtown School District","ELL","*","*","*","*","*"
"Newtown School District","Non-ELL","*","*","*","*","*"
"North Branford School District","ELL","*","*","*","*","*"
"North Branford School District","Non-ELL","*","*","*","*","*"
"North Haven School District","ELL","*","*","*","*","*"
"North Haven School District","Non-ELL","*","*","*","*","*"
"North Stonington School District","ELL","*","*","*","*","*"
"North Stonington School District","Non-ELL","*","*","*","*","*"
"Norwalk School District","ELL",83,"*","*",16,19.3
"Norwalk School District","Non-ELL",793,"*","*",50,6.3
"Norwich Free Academy District","ELL",54,"*","*",9,16.7
"Norwich Free Academy District","Non-ELL",536,"*","*",55,10.3
"Old Saybrook School District","ELL","*","*","*","*","*"
"Old Saybrook School District","Non-ELL","*","*","*","*","*"
"Oxford School District","ELL","*","*","*","*","*"
"Oxford School District","Non-ELL","*","*","*","*","*"
"Plainfield School District","ELL","*","*","*","*","*"
"Plainfield School District","Non-ELL","*","*","*","*","*"
"Plainville School District","ELL","*","*","*","*","*"
"Plainville School District","Non-ELL","*","*","*","*","*"
"Plymouth School District","ELL","*","*","*","*","*"
"Plymouth School District","Non-ELL","*","*","*","*","*"
"Portland School District","ELL","*","*","*","*","*"
"Portland School District","Non-ELL","*","*","*","*","*"
"Putnam School District","ELL","*","*","*","*","*"
"Putnam School District","Non-ELL","*","*","*","*","*"
"Regional School District 01","ELL","*","*","*","*","*"
"Regional School District 01","Non-ELL","*","*","*","*","*"
"Regional School District 04","ELL","*","*","*","*","*"
"Regional School District 04","Non-ELL","*","*","*","*","*"
"Regional School District 05","ELL","*","*","*","*","*"
"Regional School District 05","Non-ELL","*","*","*","*","*"
"Regional School District 06","ELL","*","*","*","*","*"
"Regional School District 06","Non-ELL","*","*","*","*","*"
"Regional School District 07","ELL","*","*","*","*","*"
"Regional School District 07","Non-ELL","*","*","*","*","*"
"Regional School District 08","ELL","*","*","*","*","*"
"Regional School District 08","Non-ELL","*","*","*","*","*"
