"Four-Year Graduation Rates, 2010-11"
"All Districts, English Learner Status"

"",,,"Non-Graduates",,,
"District","English Learner Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-ELL",29,"*","*","*","*"
"Ansonia School District","Non-ELL","*","*","*","*","*"
"Ansonia School District","ELL","*","*","*","*","*"
"Avon School District","Non-ELL","*","*","*","*","*"
"Avon School District","ELL","*","*","*","*","*"
"Berlin School District","Non-ELL","*","*","*","*","*"
"Berlin School District","ELL","*","*","*","*","*"
"Bethel School District","Non-ELL","*","*","*","*","*"
"Bethel School District","ELL","*","*","*","*","*"
"Bloomfield School District","Non-ELL","*","*","*","*","*"
"Bloomfield School District","ELL","*","*","*","*","*"
"Bolton School District","Non-ELL",74,"*","*","*","*"
"Branford School District","Non-ELL","*","*","*","*","*"
"Branford School District","ELL","*","*","*","*","*"
"Bridgeport School District","Non-ELL",1231,168,13.6,301,24.5
"Bridgeport School District","ELL",206,21,10.2,78,37.9
"Bristol School District","Non-ELL",698,"*","*","*","*"
"Bristol School District","ELL",11,"*","*","*","*"
"Brookfield School District","Non-ELL","*","*","*","*","*"
"Brookfield School District","ELL","*","*","*","*","*"
"Canton School District","Non-ELL","*","*","*","*","*"
"Canton School District","ELL","*","*","*","*","*"
"Capitol Region Education Council","Non-ELL",293,"*","*","*","*"
"Capitol Region Education Council","ELL",6,"*","*","*","*"
"Cheshire School District","Non-ELL","*","*","*","*","*"
"Cheshire School District","ELL","*","*","*","*","*"
"Clinton School District","Non-ELL","*","*","*","*","*"
"Clinton School District","ELL","*","*","*","*","*"
"Colchester School District","Non-ELL","*","*","*","*","*"
"Colchester School District","ELL","*","*","*","*","*"
"Common Ground High School District","Non-ELL",38,"*","*","*","*"
"Connecticut Technical High School System","Non-ELL",2269,"*","*",132,5.8
"Connecticut Technical High School System","ELL",74,"*","*",10,13.5
"Coventry School District","Non-ELL",153,8,5.2,7,4.6
"Cromwell School District","Non-ELL","*","*","*","*","*"
"Cromwell School District","ELL","*","*","*","*","*"
"Danbury School District","Non-ELL",642,57,8.9,69,10.7
"Danbury School District","ELL",116,18,15.5,29,25.0
"Darien School District","Non-ELL","*","*","*","*","*"
"Darien School District","ELL","*","*","*","*","*"
"Derby School District","Non-ELL","*","*","*","*","*"
"Derby School District","ELL","*","*","*","*","*"
"East Granby School District","Non-ELL",76,"*","*","*","*"
"East Haddam School District","Non-ELL",97,"*","*","*","*"
"East Hampton School District","Non-ELL",139,"*","*","*","*"
"East Hartford School District","Non-ELL",564,46,8.2,"*","*"
"East Hartford School District","ELL",34,6,17.6,"*","*"
"East Haven School District","Non-ELL",286,"*","*","*","*"
"East Haven School District","ELL",14,"*","*","*","*"
"East Lyme School District","Non-ELL",325,"*","*","*","*"
"East Windsor School District","Non-ELL","*","*","*","*","*"
"East Windsor School District","ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*","*","*"
"Ellington School District","Non-ELL","*","*","*","*","*"
"Ellington School District","ELL","*","*","*","*","*"
"Enfield School District","Non-ELL","*","*","*","*","*"
"Enfield School District","ELL","*","*","*","*","*"
"Explorations District","Non-ELL",34,8,23.5,8,23.5
"Fairfield School District","Non-ELL",642,"*","*","*","*"
"Fairfield School District","ELL",14,"*","*","*","*"
"Farmington School District","Non-ELL","*","*","*","*","*"
"Farmington School District","ELL","*","*","*","*","*"
"Glastonbury School District","Non-ELL","*","*","*","*","*"
"Glastonbury School District","ELL","*","*","*","*","*"
"Granby School District","Non-ELL",194,"*","*","*","*"
"Greenwich School District","Non-ELL",602,"*","*","*","*"
"Greenwich School District","ELL",30,"*","*","*","*"
"Griswold School District","Non-ELL",200,14,7.0,24,12.0
"Groton School District","Non-ELL",329,"*","*","*","*"
"Groton School District","ELL",7,"*","*","*","*"
"Guilford School District","Non-ELL","*","*","*","*","*"
"Guilford School District","ELL","*","*","*","*","*"
"Hamden School District","Non-ELL",575,"*","*","*","*"
"Hamden School District","ELL",11,"*","*","*","*"
"Hartford School District","Non-ELL",1346,148,11.0,306,22.7
"Hartford School District","ELL",257,35,13.6,100,38.9
"Killingly School District","Non-ELL","*","*","*","*","*"
"Killingly School District","ELL","*","*","*","*","*"
"Lebanon School District","Non-ELL",160,"*","*","*","*"
"Ledyard School District","Non-ELL","*","*","*","*","*"
"Ledyard School District","ELL","*","*","*","*","*"
"Lisbon School District","Non-ELL","*","*","*","*","*"
"Litchfield School District","Non-ELL","*","*","*","*","*"
"Litchfield School District","ELL","*","*","*","*","*"
"Madison School District","Non-ELL",317,"*","*","*","*"
"Manchester School District","Non-ELL",505,"*","*",88,17.4
"Manchester School District","ELL",29,"*","*",6,20.7
"Meriden School District","Non-ELL",592,"*","*",120,20.3
"Meriden School District","ELL",38,"*","*",16,42.1
"Middletown School District","Non-ELL","*","*","*","*","*"
"Middletown School District","ELL","*","*","*","*","*"
"Milford School District","Non-ELL",483,"*","*","*","*"
"Milford School District","ELL",9,"*","*","*","*"
"Monroe School District","Non-ELL",367,"*","*","*","*"
"Montville School District","Non-ELL",199,"*","*","*","*"
"Montville School District","ELL",6,"*","*","*","*"
"Naugatuck School District","Non-ELL",348,"*","*","*","*"
"Naugatuck School District","ELL",22,"*","*","*","*"
"New Britain School District","Non-ELL",625,114,18.2,173,27.7
"New Britain School District","ELL",133,31,23.3,51,38.3
"New Canaan School District","Non-ELL","*","*","*","*","*"
"New Canaan School District","ELL","*","*","*","*","*"
"New Fairfield School District","Non-ELL",241,12,5.0,9,3.7
"New Haven School District","Non-ELL",1303,138,10.6,300,23.0
"New Haven School District","ELL",147,21,14.3,64,43.5
"New London School District","Non-ELL",215,41,19.1,38,17.7
"New London School District","ELL",47,7,14.9,12,25.5
"New Milford School District","Non-ELL",397,"*","*","*","*"
"New Milford School District","ELL",6,"*","*","*","*"
"Newington School District","Non-ELL",407,"*","*","*","*"
"Newington School District","ELL",6,"*","*","*","*"
"Newtown School District","Non-ELL","*","*","*","*","*"
"Newtown School District","ELL","*","*","*","*","*"
"North Branford School District","Non-ELL","*","*","*","*","*"
"North Branford School District","ELL","*","*","*","*","*"
"North Haven School District","Non-ELL","*","*","*","*","*"
"North Haven School District","ELL","*","*","*","*","*"
"North Stonington School District","Non-ELL","*","*","*","*","*"
"North Stonington School District","ELL","*","*","*","*","*"
"Norwalk School District","Non-ELL",800,43,5.4,71,8.9
"Norwalk School District","ELL",99,15,15.2,13,13.1
"Norwich Free Academy District","Non-ELL",602,"*","*","*","*"
"Norwich Free Academy District","ELL",35,"*","*","*","*"
"Norwich School District","Non-ELL","*","*","*","*","*"
"Norwich School District","ELL","*","*","*","*","*"
"Old Saybrook School District","Non-ELL","*","*","*","*","*"
"Old Saybrook School District","ELL","*","*","*","*","*"
"Oxford School District","Non-ELL",155,"*","*","*","*"
"Plainfield School District","Non-ELL","*","*","*","*","*"
"Plainfield School District","ELL","*","*","*","*","*"
"Plainville School District","Non-ELL","*","*","*","*","*"
"Plainville School District","ELL","*","*","*","*","*"
"Plymouth School District","Non-ELL",140,"*","*","*","*"
"Portland School District","Non-ELL","*","*","*","*","*"
"Portland School District","ELL","*","*","*","*","*"
"Putnam School District","Non-ELL","*","*","*","*","*"
"Putnam School District","ELL","*","*","*","*","*"
"Regional School District 01","Non-ELL",138,8,5.8,15,10.9
"Regional School District 04","Non-ELL","*","*","*","*","*"
"Regional School District 04","ELL","*","*","*","*","*"
"Regional School District 05","Non-ELL","*","*","*","*","*"
"Regional School District 05","ELL","*","*","*","*","*"
"Regional School District 06","Non-ELL","*","*","*","*","*"
"Regional School District 06","ELL","*","*","*","*","*"
"Regional School District 07","Non-ELL","*","*","*","*","*"
"Regional School District 07","ELL","*","*","*","*","*"
"Regional School District 08","Non-ELL","*","*","*","*","*"
"Regional School District 08","ELL","*","*","*","*","*"
"Regional School District 09","Non-ELL",220,"*","*","*","*"
"Regional School District 10","Non-ELL",177,"*","*","*","*"
"Regional School District 11","Non-ELL",38,"*","*","*","*"
"Regional School District 12","Non-ELL","*","*","*","*","*"
"Regional School District 12","ELL","*","*","*","*","*"
"Regional School District 13","Non-ELL","*","*","*","*","*"
"Regional School District 13","ELL","*","*","*","*","*"
"Regional School District 14","Non-ELL","*","*","*","*","*"
"Regional School District 14","ELL","*","*","*","*","*"
"Regional School District 15","Non-ELL","*","*","*","*","*"
"Regional School District 15","ELL","*","*","*","*","*"
"Regional School District 16","Non-ELL","*","*","*","*","*"
"Regional School District 16","ELL","*","*","*","*","*"
"Regional School District 17","Non-ELL",181,"*","*","*","*"
"Regional School District 18","Non-ELL","*","*","*","*","*"
"Regional School District 18","ELL","*","*","*","*","*"
"Regional School District 19","Non-ELL","*","*","*","*","*"
"Regional School District 19","ELL","*","*","*","*","*"
"Ridgefield School District","Non-ELL",434,11,2.5,6,1.4
"Rocky Hill School District","Non-ELL","*","*","*","*","*"
"Rocky Hill School District","ELL","*","*","*","*","*"
"Seymour School District","Non-ELL",183,"*","*","*","*"
"Seymour School District","ELL",6,"*","*","*","*"
"Shelton School District","Non-ELL",392,"*","*","*","*"
"Shelton School District","ELL",9,"*","*","*","*"
"Simsbury School District","Non-ELL",349,"*","*","*","*"
"Simsbury School District","ELL",9,"*","*","*","*"
"Somers School District","Non-ELL",145,"*","*","*","*"
