"Four-Year Graduation Rates, 2013-14"
"All Districts, English Learner Status"

"",,,"Non-Graduates",,,
"District","English Learner Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-ELL",23,"*","*","*","*"
"Ansonia School District","Non-ELL","*","*","*","*","*"
"Ansonia School District","ELL","*","*","*","*","*"
"Avon School District","Non-ELL",272,"*","*","*","*"
"Berlin School District","Non-ELL","*","*","*","*","*"
"Berlin School District","ELL","*","*","*","*","*"
"Bethel School District","Non-ELL",238,"*","*","*","*"
"Bethel School District","ELL",6,"*","*","*","*"
"Bloomfield School District","Non-ELL","*","*","*","*","*"
"Bloomfield School District","ELL","*","*","*","*","*"
"Bolton School District","Non-ELL",103,"*","*","*","*"
"Branford School District","Non-ELL","*","*","*","*","*"
"Branford School District","ELL","*","*","*","*","*"
"Bridgeport School District","Non-ELL",1075,99,9.2,190,17.7
"Bridgeport School District","ELL",172,18,10.5,48,27.9
"Bristol School District","Non-ELL",678,"*","*","*","*"
"Bristol School District","ELL",21,"*","*","*","*"
"Brookfield School District","Non-ELL","*","*","*","*","*"
"Brookfield School District","ELL","*","*","*","*","*"
"Canton School District","Non-ELL",136,"*","*","*","*"
"Capitol Region Education Council","Non-ELL","*","*","*","*","*"
"Capitol Region Education Council","ELL","*","*","*","*","*"
"Cheshire School District","Non-ELL","*","*","*","*","*"
"Cheshire School District","ELL","*","*","*","*","*"
"Clinton School District","Non-ELL","*","*","*","*","*"
"Clinton School District","ELL","*","*","*","*","*"
"Colchester School District","Non-ELL","*","*","*","*","*"
"Colchester School District","ELL","*","*","*","*","*"
"Common Ground High School District","Non-ELL",29,"*","*","*","*"
"Connecticut Technical High School System","Non-ELL",2386,"*","*","*","*"
"Connecticut Technical High School System","ELL",37,"*","*","*","*"
"Coventry School District","Non-ELL",133,"*","*","*","*"
"Cromwell School District","Non-ELL","*","*","*","*","*"
"Cromwell School District","ELL","*","*","*","*","*"
"Danbury School District","Non-ELL",676,64,9.5,60,8.9
"Danbury School District","ELL",85,19,22.4,24,28.2
"Darien School District","Non-ELL","*","*","*","*","*"
"Darien School District","ELL","*","*","*","*","*"
"Department of Mental Health and Addiction Services","Non-ELL","*","*","*","*","*"
"Department of Mental Health and Addiction Services","ELL","*","*","*","*","*"
"Derby School District","Non-ELL","*","*","*","*","*"
"Derby School District","ELL","*","*","*","*","*"
"East Granby School District","Non-ELL",66,"*","*","*","*"
"East Haddam School District","Non-ELL",105,"*","*","*","*"
"East Hampton School District","Non-ELL",121,"*","*","*","*"
"East Hartford School District","Non-ELL",472,50,10.6,45,9.5
"East Hartford School District","ELL",35,9,25.7,6,17.1
"East Haven School District","Non-ELL",252,"*","*","*","*"
"East Haven School District","ELL",8,"*","*","*","*"
"East Lyme School District","Non-ELL","*","*","*","*","*"
"East Lyme School District","ELL","*","*","*","*","*"
"East Windsor School District","Non-ELL","*","*","*","*","*"
"East Windsor School District","ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*","*","*"
"Ellington School District","Non-ELL","*","*","*","*","*"
"Ellington School District","ELL","*","*","*","*","*"
"Elm City College Preparatory School District","Non-ELL","*","*","*","*","*"
"Elm City College Preparatory School District","ELL","*","*","*","*","*"
"Enfield School District","Non-ELL","*","*","*","*","*"
"Enfield School District","ELL","*","*","*","*","*"
"Explorations District","Non-ELL",27,"*","*","*","*"
"Fairfield School District","Non-ELL",717,"*","*","*","*"
"Fairfield School District","ELL",11,"*","*","*","*"
"Farmington School District","Non-ELL","*","*","*","*","*"
"Farmington School District","ELL","*","*","*","*","*"
"Glastonbury School District","Non-ELL","*","*","*","*","*"
"Glastonbury School District","ELL","*","*","*","*","*"
"Granby School District","Non-ELL","*","*","*","*","*"
"Granby School District","ELL","*","*","*","*","*"
"Greenwich School District","Non-ELL",643,19,3.0,"*","*"
"Greenwich School District","ELL",27,6,22.2,"*","*"
"Griswold School District","Non-ELL",170,10,5.9,16,9.4
"Groton School District","Non-ELL",307,"*","*","*","*"
"Groton School District","ELL",10,"*","*","*","*"
"Guilford School District","Non-ELL","*","*","*","*","*"
"Guilford School District","ELL","*","*","*","*","*"
"Hamden School District","Non-ELL",447,"*","*","*","*"
"Hamden School District","ELL",11,"*","*","*","*"
"Hartford School District","Non-ELL",1182,149,12.6,165,14.0
"Hartford School District","ELL",188,25,13.3,51,27.1
"Killingly School District","Non-ELL","*","*","*","*","*"
"Killingly School District","ELL","*","*","*","*","*"
"Learn","Non-ELL","*","*","*","*","*"
"Learn","ELL","*","*","*","*","*"
"Lebanon School District","Non-ELL",105,"*","*","*","*"
"Ledyard School District","Non-ELL","*","*","*","*","*"
"Ledyard School District","ELL","*","*","*","*","*"
"Lisbon School District","Non-ELL","*","*","*","*","*"
"Litchfield School District","Non-ELL",69,"*","*","*","*"
"Madison School District","Non-ELL","*","*","*","*","*"
"Madison School District","ELL","*","*","*","*","*"
"Manchester School District","Non-ELL",440,"*","*","*","*"
"Manchester School District","ELL",14,"*","*","*","*"
"Meriden School District","Non-ELL",554,41,7.4,77,13.9
"Meriden School District","ELL",61,9,14.8,20,32.8
"Middletown School District","Non-ELL","*","*","*","*","*"
"Middletown School District","ELL","*","*","*","*","*"
"Milford School District","Non-ELL","*","*","*","*","*"
"Milford School District","ELL","*","*","*","*","*"
"Monroe School District","Non-ELL",300,"*","*","*","*"
"Montville School District","Non-ELL",186,"*","*","*","*"
"Montville School District","ELL",7,"*","*","*","*"
"Naugatuck School District","Non-ELL",324,"*","*","*","*"
"Naugatuck School District","ELL",9,"*","*","*","*"
"New Britain School District","Non-ELL",563,97,17.2,96,17.1
"New Britain School District","ELL",93,20,21.5,26,28.0
"New Canaan School District","Non-ELL",312,"*","*","*","*"
"New Fairfield School District","Non-ELL","*","*","*","*","*"
"New Fairfield School District","ELL","*","*","*","*","*"
"New Haven School District","Non-ELL",1206,97,8.0,180,14.9
"New Haven School District","ELL",103,7,6.8,37,35.9
"New London School District","Non-ELL",189,"*","*",33,17.5
"New London School District","ELL",39,"*","*",10,25.6
"New Milford School District","Non-ELL","*","*","*","*","*"
"New Milford School District","ELL","*","*","*","*","*"
"Newington School District","Non-ELL",353,"*","*","*","*"
"Newington School District","ELL",11,"*","*","*","*"
"Newtown School District","Non-ELL","*","*","*","*","*"
"Newtown School District","ELL","*","*","*","*","*"
"North Branford School District","Non-ELL","*","*","*","*","*"
"North Branford School District","ELL","*","*","*","*","*"
"North Haven School District","Non-ELL","*","*","*","*","*"
"North Haven School District","ELL","*","*","*","*","*"
"North Stonington School District","Non-ELL",56,"*","*","*","*"
"Norwalk School District","Non-ELL",756,68,9.0,42,5.6
"Norwalk School District","ELL",66,14,21.2,9,13.6
"Norwich Free Academy District","Non-ELL",582,"*","*","*","*"
"Norwich Free Academy District","ELL",31,"*","*","*","*"
"Old Saybrook School District","Non-ELL","*","*","*","*","*"
"Old Saybrook School District","ELL","*","*","*","*","*"
"Oxford School District","Non-ELL","*","*","*","*","*"
"Oxford School District","ELL","*","*","*","*","*"
"Plainfield School District","Non-ELL","*","*","*","*","*"
