"Four-Year Graduation Rates, 2014-15"
"All Districts, English Learner Status"

"",,,"Graduates",
"District","English Learner Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","ELL","*","*","*"
"Amistad Academy District","Non-ELL","*","*","*"
"Ansonia School District","ELL",6,"*","*"
"Ansonia School District","Non-ELL",166,"*","*"
"Avon School District","ELL","*","*","*"
"Avon School District","Non-ELL","*","*","*"
"Berlin School District","ELL","*","*","*"
"Berlin School District","Non-ELL","*","*","*"
"Bethel School District","ELL",6,"*","*"
"Bethel School District","Non-ELL",212,"*","*"
"Bloomfield School District","ELL","*","*","*"
"Bloomfield School District","Non-ELL","*","*","*"
"Bolton School District","ELL","*","*","*"
"Bolton School District","Non-ELL","*","*","*"
"Branford School District","ELL",8,"*","*"
"Branford School District","Non-ELL",245,"*","*"
"Bridgeport Achievement First District","ELL","*","*","*"
"Bridgeport Achievement First District","Non-ELL","*","*","*"
"Bridgeport School District","ELL",174,104,59.8
"Bridgeport School District","Non-ELL",1014,651,64.2
"Bristol School District","ELL",27,21,77.8
"Bristol School District","Non-ELL",620,505,81.5
"Brookfield School District","ELL","*","*","*"
"Brookfield School District","Non-ELL","*","*","*"
"Canton School District","ELL","*","*","*"
"Canton School District","Non-ELL","*","*","*"
"Capitol Region Education Council","ELL","*","*","*"
"Capitol Region Education Council","Non-ELL","*","*","*"
"Cheshire School District","ELL","*","*","*"
"Cheshire School District","Non-ELL","*","*","*"
"Clinton School District","ELL","*","*","*"
"Clinton School District","Non-ELL","*","*","*"
"Colchester School District","ELL","*","*","*"
"Colchester School District","Non-ELL","*","*","*"
"Common Ground High School District","ELL","*","*","*"
"Common Ground High School District","Non-ELL","*","*","*"
"Connecticut Technical High School System","ELL",100,99,99.0
"Connecticut Technical High School System","Non-ELL",2368,2305,97.3
"Coventry School District","ELL","*","*","*"
"Coventry School District","Non-ELL","*","*","*"
"Cromwell School District","ELL","*","*","*"
"Cromwell School District","Non-ELL","*","*","*"
"Danbury School District","ELL",145,66,45.5
"Danbury School District","Non-ELL",627,529,84.4
"Darien School District","ELL","*","*","*"
"Darien School District","Non-ELL","*","*","*"
"Derby School District","ELL",10,8,80.0
"Derby School District","Non-ELL",92,77,83.7
"East Granby School District","ELL","*","*","*"
"East Granby School District","Non-ELL","*","*","*"
"East Haddam School District","ELL","*","*","*"
