"Four-Year Graduation Rates, 2011-12"
"All Districts, English Learner Status"

"",,,"Graduates",,"Non-Graduates",,,
"District","English Learner Status","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-ELL",21,15,71.4,"*","*","*","*"
"Ansonia School District","Non-ELL",195,150,76.9,"*","*","*","*"
"Ansonia School District","ELL",10,6,60.0,"*","*","*","*"
"Avon School District","Non-ELL","*","*","*","*","*","*","*"
"Avon School District","ELL","*","*","*","*","*","*","*"
"Berlin School District","Non-ELL","*","*","*","*","*","*","*"
"Berlin School District","ELL","*","*","*","*","*","*","*"
"Bethel School District","Non-ELL","*","*","*","*","*","*","*"
"Bethel School District","ELL","*","*","*","*","*","*","*"
"Bloomfield School District","Non-ELL",196,153,78.1,29,14.8,14,7.1
"Bolton School District","Non-ELL",73,66,90.4,"*","*","*","*"
"Branford School District","Non-ELL","*","*","*","*","*","*","*"
"Branford School District","ELL","*","*","*","*","*","*","*"
"Bridgeport School District","Non-ELL",1065,728,68.4,96,9.0,240,22.5
"Bridgeport School District","ELL",208,116,55.8,22,10.6,70,33.7
"Bristol School District","Non-ELL",610,521,85.4,"*","*","*","*"
"Bristol School District","ELL",21,16,76.2,"*","*","*","*"
"Brookfield School District","Non-ELL","*","*","*","*","*","*","*"
"Brookfield School District","ELL","*","*","*","*","*","*","*"
"Canton School District","Non-ELL",119,116,97.5,"*","*","*","*"
"Capitol Region Education Council","Non-ELL",326,260,79.8,"*","*","*","*"
"Capitol Region Education Council","ELL",9,6,66.7,"*","*","*","*"
"Cheshire School District","Non-ELL","*","*","*","*","*","*","*"
"Cheshire School District","ELL","*","*","*","*","*","*","*"
"Clinton School District","Non-ELL","*","*","*","*","*","*","*"
"Clinton School District","ELL","*","*","*","*","*","*","*"
"Colchester School District","Non-ELL","*","*","*","*","*","*","*"
"Colchester School District","ELL","*","*","*","*","*","*","*"
