"Four-Year Graduation Rates, 2010-11"
"All Districts, English Learner Status"

"",,,"Graduates",,"Non-Graduates",,,
"District","English Learner Status","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-ELL",29,17,58.6,"*","*","*","*"
"Ansonia School District","Non-ELL","*","*","*","*","*","*","*"
"Ansonia School District","ELL","*","*","*","*","*","*","*"
"Avon School District","Non-ELL","*","*","*","*","*","*","*"
"Avon School District","ELL","*","*","*","*","*","*","*"
"Berlin School District","Non-ELL","*","*","*","*","*","*","*"
"Berlin School District","ELL","*","*","*","*","*","*","*"
"Bethel School District","Non-ELL","*","*","*","*","*","*","*"
"Bethel School District","ELL","*","*","*","*","*","*","*"
"Bloomfield School District","Non-ELL","*","*","*","*","*","*","*"
"Bloomfield School District","ELL","*","*","*","*","*","*","*"
"Bolton School District","Non-ELL",74,70,94.6,"*","*","*","*"
"Branford School District","Non-ELL","*","*","*","*","*","*","*"
"Branford School District","ELL","*","*","*","*","*","*","*"
"Bridgeport School District","Non-ELL",1231,762,61.9,168,13.6,301,24.5
"Bridgeport School District","ELL",206,107,51.9,21,10.2,78,37.9
"Bristol School District","Non-ELL",698,536,76.8,"*","*","*","*"
"Bristol School District","ELL",11,8,72.7,"*","*","*","*"
"Brookfield School District","Non-ELL","*","*","*","*","*","*","*"
"Brookfield School District","ELL","*","*","*","*","*","*","*"
"Canton School District","Non-ELL","*","*","*","*","*","*","*"
"Canton School District","ELL","*","*","*","*","*","*","*"
"Capitol Region Education Council","Non-ELL",293,"*","*","*","*","*","*"
"Capitol Region Education Council","ELL",6,"*","*","*","*","*","*"
"Cheshire School District","Non-ELL","*","*","*","*","*","*","*"
"Cheshire School District","ELL","*","*","*","*","*","*","*"
"Clinton School District","Non-ELL","*","*","*","*","*","*","*"
"Clinton School District","ELL","*","*","*","*","*","*","*"
"Colchester School District","Non-ELL","*","*","*","*","*","*","*"
"Colchester School District","ELL","*","*","*","*","*","*","*"
"Common Ground High School District","Non-ELL",38,33,86.8,"*","*","*","*"
"Connecticut Technical High School System","Non-ELL",2269,2126,93.7,"*","*",132,5.8
"Connecticut Technical High School System","ELL",74,63,85.1,"*","*",10,13.5
"Coventry School District","Non-ELL",153,138,90.2,8,5.2,7,4.6
"Cromwell School District","Non-ELL","*","*","*","*","*","*","*"
"Cromwell School District","ELL","*","*","*","*","*","*","*"
"Danbury School District","Non-ELL",642,516,80.4,57,8.9,69,10.7
"Danbury School District","ELL",116,69,59.5,18,15.5,29,25.0
"Darien School District","Non-ELL","*","*","*","*","*","*","*"
"Darien School District","ELL","*","*","*","*","*","*","*"
"Derby School District","Non-ELL","*","*","*","*","*","*","*"
"Derby School District","ELL","*","*","*","*","*","*","*"
"East Granby School District","Non-ELL",76,73,96.1,"*","*","*","*"
"East Haddam School District","Non-ELL",97,89,91.8,"*","*","*","*"
"East Hampton School District","Non-ELL",139,127,91.4,"*","*","*","*"
"East Hartford School District","Non-ELL",564,450,79.8,46,8.2,"*","*"
"East Hartford School District","ELL",34,26,76.5,6,17.6,"*","*"
"East Haven School District","Non-ELL",286,245,85.7,"*","*","*","*"
"East Haven School District","ELL",14,10,71.4,"*","*","*","*"
