"Four-Year Graduation Rates, 2018-19"
"All Districts, English Learner Status"

"",,,,"Graduates",
"District","District Code","English Learner Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Achievement First Bridgeport Academy District","=""2850013""","ELL","*","*","*"
"Achievement First Bridgeport Academy District","=""2850013""","Non-ELL","*","*","*"
"Achievement First Hartford Academy District","=""2880013""","Non-ELL",32,31,96.9
"Amistad Academy District","=""2790013""","ELL","*","*","*"
"Amistad Academy District","=""2790013""","Non-ELL","*","*","*"
"Ansonia School District","=""0020011""","ELL",9,6,"*"
"Ansonia School District","=""0020011""","Non-ELL",172,151,87.8
"Avon School District","=""0040011""","Non-ELL",224,212,94.6
"Berlin School District","=""0070011""","Non-ELL",233,229,98.3
"Bethel School District","=""0090011""","ELL",12,9,"*"
"Bethel School District","=""0090011""","Non-ELL",225,215,95.6
"Bloomfield School District","=""0110011""","ELL",7,6,"*"
"Bloomfield School District","=""0110011""","Non-ELL",154,134,87.0
"Bolton School District","=""0120011""","Non-ELL",67,61,91.0
"Branford School District","=""0140011""","ELL",6,"*","*"
"Branford School District","=""0140011""","Non-ELL",222,"*","*"
"Bridgeport School District","=""0150011""","ELL",232,155,66.8
"Bridgeport School District","=""0150011""","Non-ELL",1225,953,77.8
"Bristol School District","=""0170011""","ELL",24,22,91.7
"Bristol School District","=""0170011""","Non-ELL",608,523,86.0
"Brookfield School District","=""0180011""","ELL","*","*","*"
"Brookfield School District","=""0180011""","Non-ELL","*","*","*"
"Canton School District","=""0230011""","Non-ELL",124,118,95.2
"Capital Preparatory Harbor School District","=""2970013""","ELL","*","*","*"
"Capital Preparatory Harbor School District","=""2970013""","Non-ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","ELL",14,11,"*"
"Capitol Region Education Council","=""2410014""","Non-ELL",491,458,93.3
"Cheshire School District","=""0250011""","ELL","*","*","*"
"Cheshire School District","=""0250011""","Non-ELL","*","*","*"
"Clinton School District","=""0270011""","ELL",6,"*","*"
"Clinton School District","=""0270011""","Non-ELL",138,"*","*"
"Colchester School District","=""0280011""","ELL","*","*","*"
"Colchester School District","=""0280011""","Non-ELL","*","*","*"
"Common Ground High School District","=""2680013""","ELL","*","*","*"
"Common Ground High School District","=""2680013""","Non-ELL","*","*","*"
"Connecticut Technical Education and Career System","=""9000016""","ELL",111,109,98.2
"Connecticut Technical Education and Career System","=""9000016""","Non-ELL",2228,2165,97.2
"Coventry School District","=""0320011""","Non-ELL",107,102,95.3
"Cromwell School District","=""0330011""","ELL","*","*","*"
"Cromwell School District","=""0330011""","Non-ELL","*","*","*"
"Danbury School District","=""0340011""","ELL",148,88,59.5
"Danbury School District","=""0340011""","Non-ELL",642,539,84.0
"Darien School District","=""0350011""","ELL","*","*","*"
"Darien School District","=""0350011""","Non-ELL","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Non-ELL",6,"*","*"
"Derby School District","=""0370011""","ELL","*","*","*"
"Derby School District","=""0370011""","Non-ELL","*","*","*"
"East Granby School District","=""0400011""","Non-ELL",72,72,100.0
"East Haddam School District","=""0410011""","Non-ELL",75,73,97.3
"East Hampton School District","=""0420011""","ELL","*","*","*"
"East Hampton School District","=""0420011""","Non-ELL","*","*","*"
"East Hartford School District","=""0430011""","ELL",50,42,84.0
"East Hartford School District","=""0430011""","Non-ELL",511,453,88.6
"East Haven School District","=""0440011""","ELL",22,17,77.3
"East Haven School District","=""0440011""","Non-ELL",213,166,77.9
